JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
ORANGE CO,Total,BHC-alpha,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,alpha Chlordane,ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,"Ammonia, as Nitrogen",mg/L,2231.446127137184,2231.446127137184
ORANGE CO,Total,Anthracene,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,"Arsenic, Total",ug/L,15.310814866632635,15.310814866632635
ORANGE CO,Dissolved,"Arsenic, Total",ug/L,15.310814866632635,15.310814866632635
ORANGE CO,Total,Azinphos Methyl,ng/L,0.017266538079805244,0.017266538079805244
ORANGE CO,Total,Benz[a]anthracene,ng/L,0.013599937934623071,0.013599937934623071
ORANGE CO,Total,Benzo[a]pyrene,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Benzo[b]fluoranthene,ng/L,0.02303559315588135,0.02303559315588135
ORANGE CO,Total,"Benzo(g,h,i)perylene",ng/L,0.00985055997452889,0.00985055997452889
ORANGE CO,Total,Benzo(k)fluoranthene,ng/L,0.015966469330266967,0.015966469330266967
ORANGE CO,Total,BHC-beta,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Biphenyl,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Bolstar (Sulprofos),ng/L,0.0069066152319220975,0.0069066152319220975
ORANGE CO,Total,Cadmium,ug/L,17.16509716858639,17.16509716858639
ORANGE CO,Dissolved,Cadmium,ug/L,17.16509716858639,17.16509716858639
ORANGE CO,Total,Calcium,ug/L,768.9249847952736,768.9249847952736
ORANGE CO,Total,Chlorpyrifos,ng/L,0.0017266538079805244,0.0017266538079805244
ORANGE CO,Total,Chromium,ug/L,2.280752711814274,2.280752711814274
ORANGE CO,Dissolved,Chromium,ug/L,2.280752711814274,2.280752711814274
ORANGE CO,Total,Chrysene,ng/L,0.012492848140094381,0.012492848140094381
ORANGE CO,Total,Copper,ug/L,15.103616409674975,15.103616409674975
ORANGE CO,Dissolved,Copper,ug/L,15.103616409674975,15.103616409674975
ORANGE CO,Total,delta BHC,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Demeton,ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,Diazinon,ng/L,0.0036909764342360147,0.0036909764342360147
ORANGE CO,Total,"Dibenz(a,h)anthracene",ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Dibenzothiophene,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Dichlorvos,ng/L,0.010359922847883144,0.010359922847883144
ORANGE CO,Total,Dieldrin,ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,Dimethoate,ng/L,0.017266538079805244,0.017266538079805244
ORANGE CO,Total,Disulfoton,ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,DOC,ng/L,0.027258108115319212,0.027258108115319212
ORANGE CO,Total,E. coli,CFU/100 mL,35625218505544.05,35625218505544.05
ORANGE CO,Total,Endosulfan I,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Endosulfan II,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Endosulfan sulfate,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Endrin,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Endrin aldehyde,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Enterococcus,CFU/100 mL,90669405284804.03,90669405284804.03
ORANGE CO,Total,Ethoprop,ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,Ethyl parathion,ng/L,0.03453307615961049,0.03453307615961049
ORANGE CO,Total,Fecal coliforms,CFU/100 mL,83376846150370.42,83376846150370.42
ORANGE CO,Total,Fenchlorophos,ng/L,0.0069066152319220975,0.0069066152319220975
ORANGE CO,Total,Fensulfothion,ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,Fenthion,ng/L,0.0069066152319220975,0.0069066152319220975
ORANGE CO,Total,Fluoranthene,ng/L,0.0205356692895817,0.0205356692895817
ORANGE CO,Total,Fluorene,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,gamma BHC,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,gamma Chlordane,ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,Hardness,NA,NA,NA
ORANGE CO,Total,Heptachlor,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Heptachlor epoxide,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Hexavalent chromium,ug/L,1.0754514026942223,1.0754514026942223
ORANGE CO,Dissolved,Hexavalent chromium,ug/L,1.0754514026942223,1.0754514026942223
ORANGE CO,Total,"Indeno(1,2,3-cd)pyrene",ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Iron,ug/L,616.3167435171625,616.3167435171625
ORANGE CO,Dissolved,Iron,ug/L,616.3167435171625,616.3167435171625
ORANGE CO,Total,Lead,ug/L,0.5332313230528091,0.5332313230528091
ORANGE CO,Dissolved,Lead,ug/L,0.5332313230528091,0.5332313230528091
ORANGE CO,Total,Magnesium,mg/L,378873.8895724732,378873.8895724732
ORANGE CO,Total,Malathion,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Manganese,ug/L,1050.59977600383,1050.59977600383
ORANGE CO,Dissolved,Manganese,ug/L,1050.59977600383,1050.59977600383
ORANGE CO,Total,MBAS,mg/L,257.91891256709084,257.91891256709084
ORANGE CO,Total,Mercury,ug/L,0.09819647301515047,0.09819647301515047
ORANGE CO,Dissolved,Mercury,ug/L,0.09819647301515047,0.09819647301515047
ORANGE CO,Total,Merphos,ng/L,0.022377433351427594,0.022377433351427594
