Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2024,Qcont4calcPrior,Qcf2024,Qcfp,Qboth,Q4calcsall
L01-556-1,0.013841,SAN JUAN CAPISTRANO,NA,0,0.00955029,0,0,NA,NA,NA,NA,NA,0
L01-601-1,0,SAN JUAN CAPISTRANO,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
L01-602-2,NA,SAN JUAN CAPISTRANO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-618-1,0.0585,SAN JUAN CAPISTRANO,NA,0.004,0.040365,0.004,345.59999999999997,NA,NA,NA,NA,NA,345.59999999999997
L01-618-2,NA,SAN JUAN CAPISTRANO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-618-3,0,SAN JUAN CAPISTRANO,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
L01-618-4,0,SAN JUAN CAPISTRANO,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
L01-618-5 (L01S09),0.170796,SAN JUAN CAPISTRANO,NA,0.059800000000000006,0.11784924,0.059800000000000006,5166.720000000001,NA,NA,NA,NA,NA,5166.720000000001
L01-724-1 (L01S01),0.093815,SAN JUAN CAPISTRANO,NA,0.023,0.06473235,0.023,1987.1999999999998,NA,0.04072199895845022,NA,3518.380710010099,NA,3518.380710010099
L01-724-2,0,SAN JUAN CAPISTRANO,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
L01-724-4 (L01P03),0.16548,SAN JUAN CAPISTRANO,NA,0.0655,0.11418119999999998,0.0655,5659.200000000001,NA,NA,NA,NA,NA,5659.200000000001
L01-726-2,0,DANA POINT,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
L01-726-3,0,DANA POINT,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-726-5,0.035118,DANA POINT,NA,0.013,0.02423142,0.013,1123.1999999999998,NA,NA,NA,NA,NA,1123.1999999999998
L01-726-6,0,DANA POINT,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-726-7,0,DANA POINT,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
L01-726-8,4.43e-4,SAN JUAN CAPISTRANO,NA,0,3.0566999999999997e-4,0,0,NA,NA,NA,NA,NA,0
L01-726-9,0,SAN JUAN CAPISTRANO,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-727-1 (L01S04),0.129248,DANA POINT,NA,0,0.08918111999999999,0,0,NA,0.04569022588628972,NA,3947.6355165754326,NA,3947.6355165754326
L01-727-2,0,DANA POINT,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-727-3,0.006964,DANA POINT,NA,0,0.004805159999999999,0,0,NA,NA,NA,NA,NA,0
L01-728-2,0.001976,DANA POINT,NA,3.1532999999999995e-4,0.0013634399999999998,3.1532999999999995e-4,27.244511999999997,NA,NA,NA,NA,NA,27.244511999999997
L01-728-3 (L01S02),0.415035,DANA POINT,NA,0.200065155,0.28637415,0.200065155,17285.629392,NA,0.032533325527171295,NA,2810.8793255476,NA,2810.8793255476
L01-728-4,0.007,DANA POINT,NA,NA,0.00483,0.00483,417.312,NA,NA,NA,NA,NA,417.312
L01-728-5 (L01-DP),0.016801,DANA POINT,NA,0.0040964999999999994,0.01159269,0.0040964999999999994,353.9375999999999,NA,NA,NA,NA,NA,353.9375999999999
L01-728-6,0,DANA POINT,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-728-8d,0,DANA POINT,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-728-9,0,DANA POINT,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-730-1,0.023405,RANCHO SANTA MARGARITA,NA,NA,0.01614945,0.01614945,1395.31248,NA,NA,NA,NA,NA,1395.31248
L01-731-1 (L08TBN2),0.314453,RANCHO SANTA MARGARITA,NA,0.007,0.21697256999999998,0.007,604.8,NA,NA,NA,NA,NA,604.8
L01-733-2,0.113928,ORANGE CO,NA,NA,0.07861032,0.07861032,6791.931648000001,NA,NA,NA,NA,NA,6791.931648000001
L01-733-4,0,ORANGE CO,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-733-5,0,ORANGE CO,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-733-7,0.05989,ORANGE CO,NA,0.027391275,0.041324099999999996,0.027391275,2366.6061600000003,NA,NA,NA,NA,NA,2366.6061600000003
L01-747-1,0.045,SAN JUAN CAPISTRANO,NA,NA,0.031049999999999998,0.031049999999999998,2682.72,NA,NA,NA,NA,NA,2682.72
L01-747-2,0.025477,SAN JUAN CAPISTRANO,NA,0.0035286599999999994,0.01757913,0.0035286599999999994,304.8762239999999,NA,0.008449599617608104,NA,730.0454069613402,NA,730.0454069613402
L01-748-1,0,SAN JUAN CAPISTRANO,NA,0,0,0,0,NA,NA,NA,NA,NA,0
