JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAGUNA WOODS,Total,"Benzo(g,h,i)perylene",2.57E-05,3.99E-04,4.24E-04
LAKE FOREST,Total,"Benzo(g,h,i)perylene",1.50E-04,0.001064601,0.001214986
DANA POINT,Total,"Benzo(g,h,i)perylene",7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,"Benzo(g,h,i)perylene",6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,"Benzo(g,h,i)perylene",3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,"Benzo(g,h,i)perylene",0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,Benzo(k)fluoranthene,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,Benzo(k)fluoranthene,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,Benzo(k)fluoranthene,0.007699159,0.011008686,0.018707845
ORANGE CO,Total,Benzo(k)fluoranthene,0.004597936,0.015966469,0.020564406
LAGUNA NIGUEL,Total,Benzo(k)fluoranthene,0.002679454,0.028887004,0.031566458
ALISO VIEJO,Total,Benzo(k)fluoranthene,6.78E-04,0.002691949,0.003369925
LAGUNA HILLS,Total,Benzo(k)fluoranthene,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,Benzo(k)fluoranthene,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,Benzo(k)fluoranthene,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,Benzo(k)fluoranthene,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,Benzo(k)fluoranthene,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,Benzo(k)fluoranthene,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,BHC-beta,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,BHC-beta,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,BHC-beta,0.001033747,0.005205052,0.0062388
ORANGE CO,Total,BHC-beta,0.004557855,0.008633269,0.013191124
LAGUNA NIGUEL,Total,BHC-beta,0.002604768,0.015549225,0.018153992
ALISO VIEJO,Total,BHC-beta,4.50E-04,0.001158326,0.001608629
LAGUNA HILLS,Total,BHC-beta,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,BHC-beta,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,BHC-beta,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,BHC-beta,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,BHC-beta,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,BHC-beta,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,Biphenyl,0.004666771,0.004977393,0.009644163
RANCHO SANTA MARGARITA,Total,Biphenyl,0.001033747,0.005205052,0.0062388
ORANGE CO,Total,Biphenyl,0.004557855,0.008633269,0.013191124
LAGUNA NIGUEL,Total,Biphenyl,0.002604768,0.015549225,0.018153992
ALISO VIEJO,Total,Biphenyl,4.50E-04,0.001158326,0.001608629
LAGUNA HILLS,Total,Biphenyl,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,Biphenyl,2.57E-05,3.99E-04,4.24E-04
LAKE FOREST,Total,Biphenyl,1.50E-04,0.001064601,0.001214986
DANA POINT,Total,Biphenyl,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,Biphenyl,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,Biphenyl,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,Biphenyl,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,Bolstar (Sulprofos),0.003733416,0.003981914,0.007715331
LAKE FOREST,Total,Bolstar (Sulprofos),1.20E-04,8.52E-04,9.72E-04
RANCHO SANTA MARGARITA,Total,Bolstar (Sulprofos),8.27E-04,0.004164042,0.00499104
ORANGE CO,Total,Bolstar (Sulprofos),0.003646284,0.006906615,0.010552899
LAGUNA NIGUEL,Total,Bolstar (Sulprofos),0.002083814,0.01243938,0.014523194
ALISO VIEJO,Total,Bolstar (Sulprofos),3.60E-04,9.27E-04,0.001286903
LAGUNA HILLS,Total,Bolstar (Sulprofos),1.12E-05,0.002081824,0.002093066
LAGUNA WOODS,Total,Bolstar (Sulprofos),2.06E-05,3.19E-04,3.40E-04
DANA POINT,Total,Bolstar (Sulprofos),6.31E-04,5.05E-04,0.001135847
SAN JUAN CAPISTRANO,Total,Bolstar (Sulprofos),4.92E-04,0.002175759,0.002667942
LAGUNA BEACH,Total,Bolstar (Sulprofos),2.76E-04,2.37E-04,5.13E-04
