JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAKE FOREST,Total,Total Kjeldahl Nitrogen,134.960758,698.3782195,833.3389775
RANCHO SANTA MARGARITA,Total,Total Kjeldahl Nitrogen,520.1058771,2821.138406,3341.244283
ORANGE CO,Total,Total Kjeldahl Nitrogen,7358.883128,6961.868154,14320.75128
LAGUNA NIGUEL,Total,Total Kjeldahl Nitrogen,1651.567448,6786.372655,8437.940103
ALISO VIEJO,Total,Total Kjeldahl Nitrogen,330.2283642,578.0044542,908.2328184
LAGUNA HILLS,Total,Total Kjeldahl Nitrogen,4.946273527,916.0025749,920.9488484
LAGUNA WOODS,Total,Total Kjeldahl Nitrogen,9.053321806,140.349673,149.4029948
DANA POINT,Total,Total Kjeldahl Nitrogen,605.680358,372.1113414,977.7916995
SAN JUAN CAPISTRANO,Total,Total Kjeldahl Nitrogen,721.5457044,1833.076647,2554.622351
LAGUNA BEACH,Total,Total Kjeldahl Nitrogen,86.25341902,64.0364931,150.2899121
SAN CLEMENTE,Total,Total Kjeldahl Nitrogen,1013.266148,2251.802568,3265.068716
MISSION VIEJO,Total,Total Suspended Solids,10561.91265,9257.950662,19819.86331
LAKE FOREST,Total,Total Suspended Solids,850.8133085,2420.192814,3271.006122
RANCHO SANTA MARGARITA,Total,Total Suspended Solids,2947.277814,12468.99222,15416.27003
ORANGE CO,Total,Total Suspended Solids,23857.59241,30583.35557,54440.94798
LAGUNA NIGUEL,Total,Total Suspended Solids,3280.966295,46103.45069,49384.41698
ALISO VIEJO,Total,Total Suspended Solids,1308.458093,5137.817371,6446.275464
LAGUNA HILLS,Total,Total Suspended Solids,8.150109788,754.6612123,762.8113221
LAGUNA WOODS,Total,Total Suspended Solids,14.91740525,115.6289919,130.5463972
DANA POINT,Total,Total Suspended Solids,1683.879824,1370.715224,3054.595048
SAN JUAN CAPISTRANO,Total,Total Suspended Solids,2010.883974,5303.411664,7314.295637
LAGUNA BEACH,Total,Total Suspended Solids,739.1421936,486.2030032,1225.345197
SAN CLEMENTE,Total,Total Suspended Solids,7548.392492,17460.01991,25008.4124
MISSION VIEJO,Total,Zinc,41.26047842,22.6969113,63.95738972
MISSION VIEJO,Dissolved,Zinc,25.67314363,22.6969113,48.37005493
LAKE FOREST,Total,Zinc,1.434013207,3.491891098,4.925904305
LAKE FOREST,Dissolved,Zinc,0.300770149,3.491891098,3.792661246
RANCHO SANTA MARGARITA,Total,Zinc,7.008347551,24.35964527,31.36799282
RANCHO SANTA MARGARITA,Dissolved,Zinc,3.035073477,24.35964527,27.39471875
ORANGE CO,Total,Zinc,23.3727555,49.93664566,73.30940116
ORANGE CO,Dissolved,Zinc,20.47152835,49.93664566,70.40817401
LAGUNA NIGUEL,Total,Zinc,25.51060315,96.68790517,122.1985083
ALISO VIEJO,Total,Zinc,3.44028115,7.534631973,10.97491312
LAGUNA NIGUEL,Dissolved,Zinc,22.37246869,96.68790517,119.0603739
ALISO VIEJO,Dissolved,Zinc,2.804568064,7.534631973,10.33920004
LAGUNA HILLS,Total,Zinc,0.028103827,5.204560085,5.232663912
LAGUNA WOODS,Total,Zinc,0.051439328,0.797441324,0.848880652
LAGUNA HILLS,Dissolved,Zinc,0.028103827,5.204560085,5.232663912
LAGUNA WOODS,Dissolved,Zinc,0.051439328,0.797441324,0.848880652
DANA POINT,Total,Zinc,12.64115834,4.52299984,17.16415818
SAN JUAN CAPISTRANO,Total,Zinc,8.076198676,12.83697592,20.9131746
DANA POINT,Dissolved,Zinc,10.05449775,4.52299984,14.57749759
SAN JUAN CAPISTRANO,Dissolved,Zinc,6.802572633,12.83697592,19.63954856
LAGUNA BEACH,Total,Zinc,0.689444451,0.592930492,1.282374942
LAGUNA BEACH,Dissolved,Zinc,0.689444451,0.592930492,1.282374942
SAN CLEMENTE,Total,Zinc,22.69837432,47.76005447,70.45842879
SAN CLEMENTE,Dissolved,Zinc,14.75881489,47.76005447,62.51886936
