Facility Identifier,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
L02-396-1,ORANGE CO,2118.1745550103656,55316727.45998856,NA
L02-401-2 (COL02P55),ORANGE CO,53419.19908926065,55316727.45998856,NA
L02-502-1,MISSION VIEJO,6607.061693914705,31892100.351538483,NA
L02-502-1,ORANGE CO,80201.76507025867,55316727.45998856,NA
L02-502-1,SAN JUAN CAPISTRANO,231409.0087125708,17426169.430142604,NA
L02-502-6,SAN JUAN CAPISTRANO,99874.01838580078,17426169.430142604,NA
L02-541-6,SAN JUAN CAPISTRANO,112763.66399999999,17426169.430142604,NA
L02-541-9 (L02P02),SAN JUAN CAPISTRANO,421918.26004799997,17426169.430142604,NA
L02-571-3,SAN JUAN CAPISTRANO,470113.88374799996,17426169.430142604,NA
L02-571-5 (L02TBN2),LAGUNA NIGUEL,1429093.1930333918,99629956.0207097,NA
L02-571-5 (L02TBN2),SAN JUAN CAPISTRANO,4107585.5404989934,17426169.430142604,NA
L02-622-2 (L02P32),ORANGE CO,120823.85791687011,55316727.45998856,NA
L02-622-2 (L02P32),RANCHO SANTA MARGARITA,1366741.795067599,33350804.219124522,NA
L02-640-1 (L11P02),RANCHO SANTA MARGARITA,1273576.689,33350804.219124522,NA
L03-074-1 (L03B01),MISSION VIEJO,3458059.0325847007,31892100.351538483,NA
L03-074-2,MISSION VIEJO,1299923.958816,31892100.351538483,NA
L03-141-1,MISSION VIEJO,293738.9513609749,31892100.351538483,NA
L03-141-1,RANCHO SANTA MARGARITA,209365.00863902512,33350804.219124522,NA
L03-141-2,MISSION VIEJO,97568.38022399998,31892100.351538483,NA
L03-141-3,MISSION VIEJO,207079.15679999997,31892100.351538483,NA
L03-142-1 (L03P24),ORANGE CO,232343.03666158998,55316727.45998856,NA
L03-142-1 (L03P24),RANCHO SANTA MARGARITA,416.92827048504614,33350804.219124522,NA
L03-172-2,MISSION VIEJO,516192.61780799984,31892100.351538483,NA
L03-172-3,MISSION VIEJO,208107.06840539892,31892100.351538483,NA
L03-240-1 (L03P14),MISSION VIEJO,395666.96932840894,31892100.351538483,NA
L03-240-1 (L03P14),RANCHO SANTA MARGARITA,4408.230879630144,33350804.219124522,NA
