JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
LAGUNA NIGUEL,99629956.0207097,Total,Pyrene,12.891666666666667,ng/L,1284396183.0336492,0.08018216775368003
LAGUNA NIGUEL,99629956.0207097,Total,Selenium,6.816666666666666,ug/L,679144200.2078377,42.39755218003249
LAGUNA NIGUEL,99629956.0207097,Dissolved,Selenium,6.816666666666666,ug/L,679144200.2078377,42.39755218003249
LAGUNA NIGUEL,99629956.0207097,Total,Silver,0.1,ug/L,9962995.60207097,0.6219689806361736
LAGUNA NIGUEL,99629956.0207097,Dissolved,Silver,0.1,ug/L,9962995.60207097,0.6219689806361736
LAGUNA NIGUEL,99629956.0207097,Total,Specific Conductivity,3933.75,NA,391919339496.46674,NA
LAGUNA NIGUEL,99629956.0207097,Total,Sulfate as SO4,1100.625,mg/L,109655220345.29361,6845546.093126886
LAGUNA NIGUEL,99629956.0207097,Total,Tetrachlorvinphos (Stirofos),2,ng/L,199259912.0414194,0.01243937961272347
LAGUNA NIGUEL,99629956.0207097,Total,Thallium,0.1,ug/L,9962995.60207097,0.6219689806361736
LAGUNA NIGUEL,99629956.0207097,Dissolved,Thallium,0.1,ug/L,9962995.60207097,0.6219689806361736
LAGUNA NIGUEL,99629956.0207097,Total,TOC,5.89375,mg/L,587194053.2970577,36657.29679624448
LAGUNA NIGUEL,99629956.0207097,Total,Tokuthion,3,ng/L,298889868.0621291,0.018659069419085204
LAGUNA NIGUEL,99629956.0207097,Total,Total Coliform,21122.272727272728,CFU/100 mL,2104411102875.6177,NA
LAGUNA NIGUEL,99629956.0207097,Total,Total Dissolved Solids (TDS),2781.25,mg/L,277095815182.5988,17298512.273943573
LAGUNA NIGUEL,99629956.0207097,Total,Total Kjeldahl Nitrogen,1.0911111111111111,mg/L,108707352.0137077,6786.372655385805
LAGUNA NIGUEL,99629956.0207097,Total,Total Suspended Solids,7.4125000000000005,mg/L,738507049.0035107,46103.45068965637
LAGUNA NIGUEL,99629956.0207097,Total,Toxaphene,12.5,ng/L,1245374450.258871,0.07774612257952168
LAGUNA NIGUEL,99629956.0207097,Total,trans-Nonachlor,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,Trichloronate,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,Volatile Suspended Solids,4.444444444444445,mg/L,442799804.5364875,27643.065806052156
LAGUNA NIGUEL,99629956.0207097,Total,Zinc,15.545454545454545,ug/L,1548792952.6855779,96.68790517162333
LAGUNA NIGUEL,99629956.0207097,Dissolved,Zinc,15.545454545454545,ug/L,1548792952.6855779,96.68790517162333
LAGUNA NIGUEL,99629956.0207097,NA,NA,NA,NA,NA,NA
ORANGE CO,55316727.45998856,Total,"2,4'-DDD",1,ng/L,55316727.45998856,0.0034533076159610487
ORANGE CO,55316727.45998856,Total,"2,4'-DDE",1,ng/L,55316727.45998856,0.0034533076159610487
ORANGE CO,55316727.45998856,Total,"2,4'-DDT",1,ng/L,55316727.45998856,0.0034533076159610487
ORANGE CO,55316727.45998856,Total,"4,4'-DDD",1,ng/L,55316727.45998856,0.0034533076159610487
ORANGE CO,55316727.45998856,Total,"4,4'-DDE",1,ng/L,55316727.45998856,0.0034533076159610487
ORANGE CO,55316727.45998856,Total,"4,4'-DDT",1,ng/L,55316727.45998856,0.0034533076159610487
ORANGE CO,55316727.45998856,Total,Acenaphthene,2.5,ng/L,138291818.6499714,0.008633269039902622
ORANGE CO,55316727.45998856,Total,Acenaphthylene,2.5,ng/L,138291818.6499714,0.008633269039902622
ORANGE CO,55316727.45998856,Total,Aldrin,2.5,ng/L,138291818.6499714,0.008633269039902622
