GlobalID,Facility Identifier,Facility Type,Inspection Status,Size 1,PRIORITY,Jurisdiction,Persistent Flow,AVGDISCHARGE,Accessibility,POINT_Y,POINT_X
{EA609467-FD74-48DE-8B48-BB275FE1F19A},L03-455-3 (L03P37),Outfall,Verified,66,Not A Priority,San Juan Capistrano,Unknown,0,Easily accessible,33.53869777,-117.67557
{B01BBCF8-264F-4698-9E95-E51471EACBB1},L03-455-5,Outfall,Verified,36,Priority,Laguna Niguel,Unknown,0.006883,Easily accessible,33.54240381,-117.6750414
{3D94996A-864A-4B4A-93E9-6D4FAF24B1B7},L03-455-6,Box,Verified,NA,Not A Priority,Laguna Niguel,Unknown,0,Easily accessible,33.54322639,-117.6748448
{0AAC6CCE-7032-4220-AA64-E80986CDB7F2},L03-455-7,Outfall,Verified,36,Priority,Laguna Niguel,Yes,0.052413,Easily accessible,33.54508563,-117.6746544
{3B384AB3-B2C5-46A8-ADAD-9627DEDCF2CB},L03-497-1,Outfall,Verified,36,Not A Priority,San Juan Capistrano,Unknown,0,Difficult accessibility,33.52651547,-117.6794077
{B513414F-444B-44D6-A7C7-D5437FDBC543},L03-662-1,Outfall,Verified,48,Not A Priority,Mission Viejo,Yes,0.019535,Difficult accessibility,33.61812287,-117.6501898
{A410A82C-AF6C-4CCA-BAC5-6E25F4039D41},L03-662-3 (L03P16),Outfall,Verified,60,Priority,Mission Viejo,Yes,0.164525,Easily accessible,33.6246438,-117.6482387
{A46C6F40-FDBC-4070-86ED-866644B07428},L03-691-1 (L03P09),Outfall,Verified,90,Priority,Mission Viejo,Yes,0.31644,Easily accessible,33.58530557,-117.661995
{EA5E6ACE-3E1C-43C1-8629-A007A2C06A36},L03-693-1 (L03P11),Outfall,Verified,60,Priority,Mission Viejo,Yes,0.116283,Easily accessible,33.5977525,-117.6557232
{44E024D0-D161-42C4-B953-3B26BC5AB579},L03-708-1,Outfall,Verified,36,Priority,Laguna Niguel,Yes,0.018177,Easily accessible,33.55749805,-117.6765066
{D0B00686-BBBD-4543-B725-46856EE3A1A0},L03-708-11 (L03P05),Outfall,Verified,60,Priority,Laguna Niguel,Yes,0.129137,Easily accessible,33.56274432,-117.6758612
{20164D58-A077-45A1-8D67-D8C0FBC284B8},L03-708-13,Outfall,Verified,60,Priority,Laguna Niguel,Yes,0.059417,Easily accessible,33.56460646,-117.6737882
{80131D44-20B9-48C8-962C-C75A86DACEB2},L03-708-5,Outfall,Verified,36,Priority,Laguna Niguel,Unknown,0.005715,Easily accessible,33.5611267,-117.6765479
{FD9D5E93-9C46-49EC-B628-B56D1864239C},L03-708-9,Outfall,Verified,48,Priority,Laguna Niguel,Yes,0.049438,Easily accessible,33.56260115,-117.6759396
{B8BEA8A0-3AAC-49CA-83D6-198977198F41},L04-136-1u (L04P07),Box,Verified,NA,Not A Priority,Mission Viejo,Yes,0.360636,Easily accessible,33.60845086,-117.6790109
{91EA8897-0C76-41A3-B3C0-07D7E0E27DB1},L04-266-1,Outfall,Verified,30,Not A Priority,Mission Viejo,Yes,0.00225,Easily accessible,33.60525229,-117.6723842
{9CBD6267-1249-4AB5-AA53-A9CD65501C1D},L04-266-5,Outfall,Verified,78,Priority,Mission Viejo,Yes,0.495302,Difficult accessibility,33.60731231,-117.6688682
{214EC75B-5777-4611-BDFC-D8AD310BF1D9},L04-301-1 (L04P08),Outfall,Verified,48,Priority,Mission Viejo,Yes,0.034968,Easily accessible,33.59956188,-117.6743742
{9559CB47-0239-4B3A-B6FF-38E557824BEC},L04-672-1,Culvert,Verified,84,Priority,Mission Viejo,Yes,0.220338,Difficult accessibility,33.61223316,-117.6806499
{7FD1636E-ED34-4FE6-8232-0809F76D4268},L04-702-1 (L04P02),Outfall,Verified,48,Priority,Mission Viejo,Yes,0.019946,Easily accessible,33.58053553,-117.6732563
{9429FA86-6A47-441F-8775-95A2DA9CACC7},L04-702-4,Outfall,Verified,36,Not A Priority,Mission Viejo,Unknown,0,Easily accessible,33.58274208,-117.6733815
{B2A1E667-9853-4699-9E7C-64A87D6A78B6},L05-049-1,Outfall,Verified,108,Priority,Orange Co,Yes,0.935829,Easily accessible,33.53474488,-117.6461771
{C7C5C7FF-5ABD-4100-A07F-AD4029A16E9D},L05-489-3,Box,Verified,NA,Priority,Orange Co,Yes,0.851665,Easily accessible,33.52979731,-117.6465258
{AB8E0D12-8F63-49AB-B36D-666D80A86575},L05-489-3d,Box,Verified,NA,NA,Orange Co,Yes,1.798552,Easily accessible,33.52889298,-117.6466127
{89504E55-47E7-478E-A5C9-5CFF9D030D7C},L05-489-4,Outfall,Verified,48,Priority,Orange Co,Yes,0.251571,Easily accessible,33.52935447,-117.6460606
{9BFA7A22-DD6F-4A84-9ABE-48063EA402CA},L05-489-7,Outfall,Verified,60,Priority,Orange Co,Yes,0.087582,Easily accessible,33.53268101,-117.6467119
{0D74C298-E380-451C-AD48-D54F338F6F15},L05-503-1,Outfall,Verified,54,Priority,San Juan Capistrano,Yes,0.096261,Easily accessible,33.51066817,-117.657297
{3BF05356-3912-4A4C-A382-01CE34EA71C0},LC01-11446-1,Outfall,Verified,36,Not A Priority,Laguna Beach,Yes,0.014845,Easily accessible,33.55405068,-117.8159011
{08E9EDB0-D8A8-4F38-B83C-6928D509B836},LC01-11480-1,Outfall,Verified,48,Not A Priority,Orange Co,Yes,NA,Easily accessible,33.56102607,-117.8214417
