AREA,EMC_Group,RC_Group,FACILITYID,RC,RC_M,RC_Event,RCandCF,RC_Mcf,RC_WMAcf_M,RC_WMAcf,LSPC_LU_DESC,RC_Model_Outfall,SUM_Area,...1,Constituent,Fraction,Units,EMC,EMC_Model_LU,EMC_Model_LU_divisor
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,NA,NA,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,33,"Lead, Total",Total,mg/L,0.0021,0.15158475611534805,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,NA,NA,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,34,"Zinc, Total",Total,mg/L,0.1021,7.369906475893826,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,NA,NA,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,35,"Copper, Total",Dissolved,mg/L,0.0148,1.068311614527215,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,NA,NA,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,36,"Zinc, Total",Dissolved,mg/L,0.0413,2.981166870268512,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,0.00165831350939987,0.00210640361573652,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,28,Fecal coliforms,Total,CFU/100 mL,11600,837325.3194943035,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,0.00165831350939987,0.00210640361573652,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,29,TN,Total,mg/L,4.12,297.3948548548733,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,0.00165831350939987,0.00210640361573652,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,30,TP,Total,mg/L,0.45,32.482447739003156,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,0.00165831350939987,0.00210640361573652,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,31,TSS,Total,mg/L,104.2,7521.491232009174,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,0.00165831350939987,0.00210640361573652,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,32,"Copper, Total",Total,mg/L,0.0268,1.9345102209006324,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,0.00165831350939987,0.00210640361573652,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,33,"Lead, Total",Total,mg/L,0.0021,0.15158475611534805,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,0.00165831350939987,0.00210640361573652,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,34,"Zinc, Total",Total,mg/L,0.1021,7.369906475893826,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,0.00165831350939987,0.00210640361573652,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,35,"Copper, Total",Dissolved,mg/L,0.0148,1.068311614527215,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,0.00165831350939987,0.00210640361573652,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,36,"Zinc, Total",Dissolved,mg/L,0.0413,2.981166870268512,72.18321719778478
201.5991301,single family,Single Family Residential,L01-724-4 (L01P03),0.405,0.3532904558522492,0.02537371576740968,0.02908755307587089,NA,0.08232146070875104,0.07981888209877125,RESSFH,0.07981888209877125,403.1982602,28,Fecal coliforms,Total,CFU/100 mL,11600,373320.87896266853,32.18283439333349
201.5991301,single family,Single Family Residential,L01-724-4 (L01P03),0.405,0.3532904558522492,0.02537371576740968,0.02908755307587089,NA,0.08232146070875104,0.07981888209877125,RESSFH,0.07981888209877125,403.1982602,29,TN,Total,mg/L,4.12,132.593277700534,32.18283439333349
201.5991301,single family,Single Family Residential,L01-724-4 (L01P03),0.405,0.3532904558522492,0.02537371576740968,0.02908755307587089,NA,0.08232146070875104,0.07981888209877125,RESSFH,0.07981888209877125,403.1982602,30,TP,Total,mg/L,0.45,14.482275477000073,32.18283439333349
